epoch,train_loss,validation_loss
1,0.17236607849727106,0.09559351691837616
2,0.09769901143922574,0.0887328968282323
3,0.09162199491189009,0.08869918262512541
4,0.08963551238439259,0.08440336791126106
5,0.08791933128563724,0.08362521517839855
6,0.08731757454447481,0.08292171501194517
7,0.08628176451681195,0.08266992302394076
8,0.08529142758702693,0.08263573663941216
9,0.08513405612706322,0.08193600979144744
10,0.08448697139205309,0.08152699096769374
11,0.08422386003873823,0.08098323049374882
12,0.08360588320259957,0.08064730875450081
13,0.08338004496410444,0.08048669188439671
14,0.08270044617921715,0.08031733762416036
15,0.08267658092255764,0.08017939141379705
16,0.08261998249399521,0.07963884555891353
17,0.08203630801109682,0.07942163278368264
18,0.0822588755143971,0.07911052089463369
19,0.08137071118297552,0.07889524119037426
20,0.08125772119992758,0.07890206672039407
21,0.08110675549114853,0.0789342603676945
22,0.08113640980898919,0.07882926862854393
23,0.08083579183012346,0.07951498271923939
24,0.0804100969333163,0.0783071397903073
25,0.08039778470398151,0.07924307568288821
26,0.07993129901209782,0.07798993167937976
27,0.08035885912143234,0.07773992817680762
28,0.08015376339535138,0.08061935119812093
29,0.07993106057567201,0.07744238930865505
30,0.07991910979170422,0.07746848370574484
31,0.07940717463524893,0.07803752001697573
32,0.07975101123616105,0.07753180673922154
33,0.07906405652033041,0.07744750982464498
34,0.07938323956817045,0.0777641455631858
35,0.07901536436370968,0.07730731447735464
36,0.07896789327285927,0.07733090695465066
37,0.07916882913209114,0.07708413252933266
38,0.07910124344229222,0.07717458830067672
39,0.07868174357619975,0.0772904988630364
40,0.07887669214266008,0.07739094700660563
41,0.0785798241633013,0.07674484889538023
42,0.07883251773613514,0.07690495807456448
43,0.078338657541185,0.0775130231138128
44,0.0784840733985666,0.07664502694624525
45,0.07838527726531505,0.0771409267585514
46,0.0782827875664341,0.07662894883169148
47,0.07860416868682243,0.07661238830665033
48,0.07837589580561016,0.07668460602251306
49,0.07832972335427221,0.07646801929512255
50,0.07869305340712354,0.07630025150567261
51,0.07815943441641729,0.07706125159023826
52,0.07786074987128998,0.07671912983066256
53,0.07807088282213824,0.07685351608992269
54,0.07799297971033758,0.07686570217129325
55,0.0781686737847883,0.07627718731276156
56,0.07772641822575055,0.07678952176484924
57,0.0775298405550416,0.07628387529799731
58,0.07776609527843088,0.07670664113194355
59,0.07793211885280181,0.0759742907135969
60,0.07723348934062738,0.07649872594110477
61,0.07749040138936307,0.07664015644865906
62,0.07746358974209476,0.07646292248569926
63,0.07773012046148639,0.07564099103228503
64,0.07703008771527381,0.07613655562518977
65,0.07762232675912158,0.07685406091944479
66,0.0777564860172455,0.0761090399152848
67,0.0773356763140987,0.07604870394192217
68,0.07697131929725147,0.07629910262121561
69,0.07703434228829108,0.0764208881534425
70,0.07703867367529008,0.07560507137106477
71,0.07695312629414214,0.0758032349580086
72,0.07680773898471349,0.07576655479368292
73,0.0776414177913248,0.07773205296941722
74,0.07724769531004619,0.07595772904767299
75,0.0768431090213655,0.07556473235236
76,0.0769436587801039,0.07540742898186054
77,0.07689198291793277,0.07530298452162451
78,0.0768116782452846,0.07527263358610554
79,0.07637265138221845,0.07577346560522082
80,0.07676355071298696,0.07616881060333097
81,0.07687101336464829,0.0754361405064458
82,0.07639348385314843,0.07545404573752973
83,0.07682080435072314,0.07484860479599695
84,0.07651163237616615,0.07520873845940786
85,0.07664190300783749,0.07478837601186347
86,0.07618905175224437,0.07481859358604764
87,0.07603182791864721,0.07510830677769346
88,0.07651519507604844,0.07469215625602535
89,0.07643102345603812,0.07488720064079891
90,0.07633680802421204,0.07527865021324616
91,0.07663630146171642,0.07596877517746493
92,0.07635019024088512,0.0750165254078622
93,0.07633884639963737,0.07445285962932535
94,0.07643752940550652,0.07505587426078592
95,0.0759749230245126,0.07470795805025979
96,0.07630956408859754,0.07457643967560453
97,0.07583506487278488,0.0751159665613475
98,0.07622217619903168,0.07453948406436159
99,0.07627407157840595,0.07495169846590702
100,0.07630065474346887,0.07535404067139904
